titulo,año,nombre,apellido,isbn,estante,editorial,año,volumen,claveIngreso,colección,edicion,adquisicion,numClasificacion,materias
TEORIA Y DISEÑO ORGANIZACIONAL,1977,DAFTy RICHARD L.,d,5.24E+64,N/A,CENGAGE,1980,15,1A,15,15,B,700,j
TEORIA ORGANIZACIONALy DISEÑO Y CAMBIO EN LAS ORGANIZACIONES,1975,JONESy GARETH R.,d,5.24E+64,N/A,PEARSON,1979,16,1B,16,16,D,800,j
TEORIA ORGANIZACIONALy DISEÑO Y CAMBIO EN LAS ORGANIZACIONES,1974,JONESy GARETH R.,d,5.24E+64,N/A,PEARSON,1978,17,2C,17,17,A,900,j
ADMINISTRACION,1973,ROBBINSy STEPHEN  COULTERy MARY,d,5.24E+64,N/A,PEARSON,1977,18,3D,18,18,C,100,j
INTRODUCCION A LA TEORIA GENERAL DE LA ADMINISTRACION,1972,CHIAVENATOy IDALBERTO,d,5.24E+64,N/A,MCGRAW-HILL,1976,19,4E,19,19,E,200,j
ADMINISTRACION. UN ENFOQUE BASADO EN COMPETENCIAS,1971,HELLRIEGELy DON  JACKSONy SUSAN  SLOCUM JRy JOHN,d,5.24E+84,N/A,CENGAGE LEARNING,1975,20,1A,20,20,B,300,j
Auditoría Interna,1969,Juan Ramón Santillana González,d,5.24E+84,N/A,Pearson Educación,1974,21,1B,21,21,D,400,j
INTRODUCCION A LA TEORIA GENERAL DE LA ADMINISTRACION,1968,CHIAVENATOy IDALBERTO,d,5.24E+64,N/A,MCGRAW-HILL,1973,22,2C,22,22,A,500,j
Farmacología Básica y Clínica,1967,Bertram G. Katzung,d,5.24E+64,N/A,McGraw Hill,1972,23,3D,23,23,C,600,j
Anatomía topográfica y aplicada de los animales domésticos,1966,BERGy Rolf,d,5.24E+64,N/A,Edit AC Madrid,1971,24,4E,24,24,E,700,j
Hearing by Whales and Dolphins,1965, Richard R. Fayy Whitlow W.L. Au,d,5.24E+84,N/A,Springer-Verlag New York,1970,25,1A,25,25,B,800,j
Comparative Hearing: Mammals,1963,Richard R. Fay,d,5.24E+84,N/A,Springer-Verlag New York,1969,26,1B,26,26,D,900,j
Aritmética y Álgebra Manual Esencial,1962,Baezay Ángela y otros,d,5.24E+84,N/A,Santillana,1968,27,2C,27,27,A,100,j
Raymond R. Weily Nyle C. Brady,1961,Anonimo,d,5.24E+44,N/A,Nature and Properties of Soilsy They 15th Edition,1967,28,3D,28,28,C,200,j
Álgebra,1960,Oteyzay Elena de,d,5.24E+84,N/A,Pearson Educación,1966,29,4E,29,29,E,300,j
Edafología. Uso y Protección de los Suelos,1959,Jaume Portay Marta López-Acevedoy Rosa Poch,d,5.24E+49,N/A,Ediciones Mundiprensa,1965,30,1A,30,30,B,400,j
ENCYCLOPEDIA OF SOILS IN THE ENVIRONMENT FOUR-VOLUME SET,1957,Daniel Hillel (Editor-in-Chief),d,5.24E+99,N/A,Academic Press,1964,31,1B,31,31,D,500,j
Grayy Anatomía para estudiantes,1956,Richard L Drake  Wayne Vogl  Adam W M Mitchell,d,5.24E+84,N/A,Elsevier,1963,32,2C,32,32,A,600,j
Negocios Globales,1955,Mike Peng,d,5.24E+64,N/A,Cengage,1962,33,3D,33,33,C,700,j
Negocios Internacionales. Competencia en el mercado global,1954,Charles Hill,d,5.24E+64,N/A,McGraw-Hill,1961,34,4E,34,34,E,800,j
Matemáticas para maestros de Educación Primaria,1953,Segoviay Isidoro y Ricoy Luis,d,5.24E+84,N/A,Ediciones Pirámide,1960,35,1A,35,35,B,900,j
Álgebra para futuros profesores de enseñanza básica,1951,Martínezy Salomé y otros,d,5.24E+64,N/A,Ediciones SM Chile S.A.,1959,36,1B,36,36,D,100,j
Números Texto para el formador para futuros profesores de enseñanza básica,1950,Martínezy Salomé y otros,d,5.24E+64,N/A,Ediciones SM Chile S.A.,1958,37,2C,37,37,A,200,j
Arquitectura y ciudad moderna en el sur de Chile. Memoriay territorio y proyecto,1949,Pablo Fuentes y Veronica Esparza editores,d,5.24E+64,N/A,STOQ editorial,1957,38,3D,38,38,C,300,j
TRATADO PRÁCTICO DE HORTICULTURA,1948,G. Sasias y C. Chesney M. Guedj,d,5.24E+84,N/A,Omega S.A.,1956,39,4E,39,39,E,400,j
Sedimentología: del proceso físico a la cuenca sedimentaria,1947,Alfredo Arches Miralles,d,5.24E+84,N/A,CSIC,1955,40,1A,40,40,B,500,j
Estratigrafía: principios y métodos,1945,Juan Antonio Vera Torres,d,5.24E+64,N/A,Rueda,1954,41,1B,41,41,D,600,j
Como funciona la música,1944,David Byrne,d,5.24E+64,N/A,Literatura Random,1953,42,2C,42,42,A,700,j
Introducción a la Econometríay 3ed,1943,Stocky James  Watsony Mark,d,5.24E+64,N/A,Pearson,1952,43,3D,43,43,C,800,j
Química Orgánica,1942,Careyy F.A.  McGraw-Hill: Méxicoy 2006,d,5.24E+64,N/A,McGraw-Hill,1951,44,4E,44,44,E,900,j
 Química Orgánica,1941,Solomonsy T.W.G. ,d,5.24E+64,N/A,Limusa Wiley,1950,45,1A,45,45,B,100,j
Química Orgánica,1939,Solomons,d,5.24E+64,N/A,LIMUSA,1949,46,1B,46,46,D,200,j
A La Escucha,1938, Jean-Luc Nancy,d,5.24E+49,N/A,Nómadas,1948,47,2C,47,47,A,300,j
Escucha esto,1937,Alex Ross,d,5.24E+49,N/A,Seix barral,1947,48,3D,48,48,C,400,j
Oceano de sonido,1936,David Toop,d,5.24E+64,N/A,Caja negra editores,1946,49,4E,49,49,E,500,j
¿Cómo funcional la música?,1935,David Byrne,d,5.24E+64,N/A,Sexto piso,1945,50,1A,50,50,B,600,j
HOTELERIA Y TURISMO: MANUAL DE ADMINISTRACIÓN HOTELERA,1933,VV.AA.,d,5.24E+64,N/A,DALY,1944,51,1B,51,51,D,700,j
COMPETITIVIDAD DE LOS DESTINOS TURÍSTICOS,1932,MIGUEL ANGEL ACERENZA,d,5.24E+64,N/A,TRILLAS,1943,52,2C,52,52,A,800,j
TURISMO 2.0,1931,TOMAELLOy FLAVIA Y DUERy WALTER,d,5.24E+84,N/A,EDICIONES TURISTICAS LADEVI PROTURISMO,1942,53,3D,53,53,C,900,j
TURISMOy HOTELERÍA Y RESTAURANTES,1930,VV.AA.,d,5.24E+64,N/A,LEXUS,1941,54,4E,54,54,E,100,j
Contabilidad información y control en las empresas; SEXTA EDICIÓN,1929,GABRIEL TORRES SALAZAR,d,5.24E+49,N/A,LEGAL PUBLISHING,1940,55,1A,55,55,B,200,j
Preparación y Evaluación de Proyectos,1927,Nassir Sapag Chainy Reinaldo Sapag Chainy José Manuel Sapag P.,d,5.24E+84,N/A,Mc Graw Hill Education,1939,56,1B,56,56,D,300,j
Introduction to Animal Science: Globaly Biologicaly Social and Industry Perspectives,1926,W. Stephen Damron,d,5.24E+64,N/A,Pearson,1938,57,2C,57,57,A,400,j
Una guerra infame La verdadera historia de la Conquista del Desierto,1925,Andrés Bonatti y Javier Valdez,d,5.24E+84,N/A,Edhasa,1937,58,3D,58,58,C,500,j
Químicay la Ciencia Central,1924,Theodore L. Browm  ,d,5.24E+84,N/A,Pearson Educacióny Mexico,1936,59,4E,59,59,E,600,j
Gaia: una ciencia para curar el planeta,1923, James Lovelock ,d,5.24E+64,N/A,Integraly Barcelona,1935,60,1A,60,60,B,700,j
Las Maquinas Agrícolas Y Su Aplicación,1921,Ortiz-Cañavate Jaime,d,5.24E+64,N/A,MUNDI-PRENSA,1934,61,1B,61,61,D,800,j
Metodologías de acción social,1920,Ezequiel Ander Egg,d,5.24E+64,N/A,LUMEN HUMANITAS,1933,62,2C,62,62,A,900,j
ENGLISH FOR INTERNATIONAL TOURISM COURSEBOOK. INTERMEDIATE.,1919,Peter Strutt,d,5.24E+64,N/A,Pearson ELT,1932,63,3D,63,63,C,100,j
BASES METODOLÓGICAS PARA EL DIAGNÓSTICO BACTERIOLÓGICO DE LAS INFECCIONES POR CAMPYLOBACTER,1918,Heriberto Fernández J.y Sofía Ochoa A.y Janneth Simaluiza M.,d,5.24E+84,N/A,Editora Copygraph LTDA,1931,64,4E,64,64,E,200,j
The Maya Rain Forest Gardeny eight milenia of sustanible cultivation of the tropical woodlands,1917,Anabel Ford y Ronald Nigh,d,5.24E+84,N/A,left coast press,1930,65,1A,65,65,B,300,j
La evaluación sensorial de los alimentos en la teoría y la práctica,1915,Antonio Anzaldúa-Morales,d,5.24E+49,N/A,Editorial Acribia s.a.,1929,66,1B,66,66,D,400,j
Teatro Posdramático,1914,Hans_Thies Lehmann,d,5.24E+64,N/A,cendeac,1928,67,2C,67,67,A,500,j
La Odisea,1913,Homero,d,5.24E+64,N/A,Gredos,1927,68,3D,68,68,C,600,j
La Ilíada,1912,Homero,d,5.24E+64,N/A,Gredos,1926,69,4E,69,69,E,700,j
Medicina Interna de grandes animales,1911,BP Smith,d,5.24E+99,N/A,Elsevier,1925,70,1A,70,70,B,800,j
Adams & Stashaks Lameness in horses,1909,Gary Baxter,d,5.24E+84,N/A,Wiley-Blackwell,1924,71,1B,71,71,D,900,j
Fackelmany Auery Nunamakery Bramlagey Markely Richardson,1908,865778264,d,5.24E+39,N/A,AO Principles of Equine Osteosynthesis,1923,72,2C,72,72,A,100,j
Equine Surgery,1907,Auer & Stick,d,5.24E+84,N/A,ELSEVIER,1922,73,3D,73,73,C,200,j
Equine Internal Medicine,1906,SM Reedy WM Baylyy DC Sellon (editores),d,5.24E+64,N/A,Elsevier,1921,74,4E,74,74,E,300,j
Atlas of Equine Endoscopy,1905,Natahn Slovis,d,5.24E+59,N/A,Mosby,1920,75,1A,75,75,B,400,j
Diagnosis and management of lameness in the horse ,1903,Roos & Dyson,d,5.24E+84,N/A,ELSEVIER,1919,76,1B,76,76,D,500,j
Georgis Parasitology for veterinarians,1902,D Bowman,d,5.24E+64,N/A,Elsevier,1918,77,2C,77,77,A,600,j
EN EL MUNDO INTERIOR DEL CAPITAL. PARA UNA TEORIA FILOSOFICA DELA GLOBALIZACION,1901,PETER SLOTERDIJK,d,5.24E+64,N/A,SIRUELA,1917,78,3D,78,78,C,700,j
EN EL ESPACIO LEEMOS EL TIEMPO,1900,KARL SCHLOGEL,d,5.24E+64,N/A,SIRUELA,1916,79,4E,79,79,E,800,j
Espacio del capital. Hacia una geografía critica,1899,David Harvey,d,5.24E+64,N/A,AKAL,1915,80,1A,80,80,B,900,j
La nueva naturaleza de los mapas : ensayos sobre la historia de la cartografía,1897,John Brian Harley,d,5.24E+64,N/A,S.L. FONDO DE CULTURA ECONOMICA DE ESPAÑA,1914,81,1B,81,81,D,100,j
Journal of Paloebiology  DOI: http://dx.doi.org/10.1017/pab.2016.6,1896,#NAME?,d,5.24E+89,N/A,Cambridge Univeristy press,1913,82,2C,82,82,A,200,j
THE UNITED STATES PHARMACOPEIA - en español (USP 38 NF 33),1895,United States Pharmacopeia,d,5.24E+84,N/A,United States Pharmacopeia,1912,83,3D,83,83,C,300,j
Psicología del Desarrolloy de la infancia a la adolescencia,1894,Papalia y Wendkos y Duskin,d,5.24E+89,N/A,Mc Graw Hill,1911,84,4E,84,84,E,400,j
Metodología de la investigación educativa,1893,Bisquerray Rafael ,d,5.24E+84,N/A,La Muralla,1910,85,1A,85,85,B,500,j
Introduction to Public Health: Edition 3,1891,Mary Louise Fleming Elizabeth Parker ,d,5.24E+64,N/A,Elsevier Health Sciences,1909,86,1B,86,86,D,600,j
Detail 3 Concept,1890,Varios autores,d,5.24E+44,N/A,Detail,1908,87,2C,87,87,A,700,j
JA 99,1889,Varios autores,d,5.24E+44,N/A,Shinkenchiku-sha,1907,88,3D,88,88,C,800,j
El Croquis 144,1888,Varios autores,d,5.24E+44,N/A,El Croquis,1906,89,4E,89,89,E,900,j
Summa+ 126,1887,Varios autores,d,5.24E+44,N/A,Donn,1905,90,1A,90,90,B,100,j
Summa+ 116,1885,Varios autores,d,5.24E+44,N/A,Donn,1904,91,1B,91,91,D,200,j
Summa +114,1884,Varios autores,d,5.24E+44,N/A,Donn,1903,92,2C,92,92,A,300,j
Summa+ 76,1883,Varios autores,d,5.24E+44,N/A,Donn,1902,93,3D,93,93,C,400,j
Acoustics and the Performance of Music,1882,Jurgen Meyer,d,5.24E+84,N/A,Springer,1901,94,4E,94,94,E,500,j
Sound Design,1881,David Sonnenschein,d,5.24E+84,N/A,Michael Wiese production,1900,95,1A,95,95,B,600,j
Music Technology and the project studio,1879,Dan Hosken,d,5.24E+84,N/A,Routledge,1899,96,1B,96,96,D,700,j
An introduction to music technology,1878,Dan Hosken,d,5.24E+84,N/A,Routledge,1898,97,2C,97,97,A,800,j
Spatial Audio,1877,Francis Rumsey,d,5.24E+69,N/A,Focal Press,1897,98,3D,98,98,C,900,j
Audio production and critical listening,1876,Jason Corey,d,5.24E+84,N/A,Focal Press,1896,99,4E,99,99,E,100,j
Loadbang: programming electronic music in Pure Data,1875,Johannes Kreidler,d,5.24E+84,N/A,Wolke,1895,100,1A,100,100,B,200,j
Tratado de los objetos musicales,1873,Pierre Schaeffer,d,5.24E+84,N/A,Alianza Música,1894,101,1B,101,101,D,300,j
Acústica musical y organología,1872,Tirso de Olozabal,d,5.24E+84,N/A,Melos ediciones musicales,1893,102,2C,102,102,A,400,j
Acoustic Communication,1871,Barry Truax,d,5.24E+64,N/A,Ablex Publishing,1892,103,3D,103,103,C,500,j
Musicay sociedad y educación,1870,Christopher Small,d,5.24E+64,N/A,Madrid: Alianza Musica,1891,104,4E,104,104,E,600,j
El ruido eterno: escuchar al siglo XX a través de su música ,1869,Alex Ross,d,5.24E+64,N/A,Barcelona: Seix Barral,1890,105,1A,105,105,B,700,j
Armonía del siglo XX,1867,Vincent Persichetti,d,5.24E+64,N/A,Madrid: Real Musical,1889,106,1B,106,106,D,800,j
Armonía,1866,Walter Piston,d,5.24E+64,N/A,Mundimusica,1888,107,2C,107,107,A,900,j
Tratado de armonia,1865,Arnold Schoenberg,d,5.24E+64,N/A,Real Musical,1887,108,3D,108,108,C,100,j
Ways of Sensing. Understanding the Senses In Society,1864,David Howes y Costance Classen,d,5.24E+64,N/A,Routledge,1886,109,4E,109,109,E,200,j
Calle de sentido unico,1863,Walter Benjamin,d,5.24E+64,N/A,AKAL,1885,110,1A,110,110,B,300,j
Breve historia de la fotografía,1861,Walter Benjamin,d,5.24E+64,N/A,CASIMIRO Libros,1884,111,1B,111,111,D,400,j
Libro de los pasajes,1860,Walter Benjamin,d,5.24E+69,N/A,Akal Ediciones Sa,1883,112,2C,112,112,A,500,j
3rd Symposium on Potato Cyst Nematodes,1859,Haydocky P.P.J. (ed),d,5.24E+69,N/A, AAB Office The Warwick Enterprise Parky Wellesbourney Warwick CV35 9EFy UK,1882,113,3D,113,113,C,600,j
El color del rio,1858,Susana Silvestri,d,5.24E+49,N/A,Prometeo,1881,114,4E,114,114,E,700,j
La viena de fin de siglo,1857,Carl Schorske,d,5.24E+84,N/A,editorial siglo XXI,1880,115,1A,115,115,B,800,j
Terror y utopia,1855,Karl Schlogel,d,5.24E+84,N/A,Acantilado Quaderns Cremay S. A . U.,1879,116,1B,116,116,D,900,j
en el espacio leemos el tiempo,1854,Kar Schlogel,d,5.24E+64,N/A,siruela,1878,117,2C,117,117,A,100,j
Historia del teatro en Chile (1941-1990),1853,Juan Andrés Piña,d,5.24E+84,N/A,taurus,1877,118,3D,118,118,C,200,j
A Concrete Atlantis,1852,Reyner Banham,d,5.24E+64,N/A,The MIT Press,1876,119,4E,119,119,E,300,j
Le Corbusier Redrawn,1851,SooJin (Steven) Park,d,5.24E+64,N/A,Princeton Architectural Press,1875,120,1A,120,120,B,400,j
CINCO CARAS DE LA MODERNIDAD: MODERNISMOy VANGUARDIAy DECADENCIAy KITSCHy POSTMODERNISMO,1849,Matei Calinescu,d,5.24E+64,N/A,Tecnos,1874,121,1B,121,121,D,500,j
Ore Deposit Geology,1848,John Ridley,d,5.24E+69,N/A,Cambridge University Press,1873,122,2C,122,122,A,600,j
Introduction to Ore-Forming Processes,1847,Laurence Robb,d,5.24E+69,N/A,Blackwell Science Ltd,1872,123,3D,123,123,C,700,j
Ante la Imagen,1846,Georges Didi-Huberman ,d,5.24E+59,N/A,cendeuc,1871,124,4E,124,124,E,800,j
Diccionario Akal del color ,1845,Rosa Gallegos/ Juan Carlos Sanz,d,5.24E+64,N/A,akal,1870,125,1A,125,125,B,900,j
Teoria de los colores,1843,JOHANN WOLFGANG VON GOETHE y,d,5.24E+69,N/A,Colegio oficial de aparejadores y arquitectos tecnic,1869,126,1B,126,126,D,100,j
La Pintura Encarnada,1842,Georges Didi-Huberman ,d,5.24E+54,N/A,pre-textos,1868,127,2C,127,127,A,200,j
Lucian Freud Paintings,1841,Robert Hughes,d,5.24E+69,N/A,Thames & Hudson,1867,128,3D,128,128,C,300,j
Eric Fischl: The Krefeld-Project,1840,Robert Rosenblum,d,5.24E+69,N/A,Kerber ,1866,129,4E,129,129,E,400,j
Boltanski,1839,Christian Boltanski,d,5.24E+69,N/A,charta,1865,130,1A,130,130,B,500,j
El siglo del Collage. Una apreciación radical,1837,Jose Francisco Yras,d,5.24E+84,N/A,elba,1864,131,1B,131,131,D,600,j
David Hockeney: El gran Mensaje,1836,David Hockeney,d,5.24E+79,N/A,la fabrica,1863,132,2C,132,132,A,700,j
Asi lo veo Yo,1835,David Hockeney,d,5.24E+79,N/A,Siruela,1862,133,3D,133,133,C,800,j
Coloresy Historia y significado,1834,Anne Varichon,d,5.24E+84,N/A,Gustavo Gili,1861,134,4E,134,134,E,900,j
Un arte contextual,1833,Paul Ardenne,d,5.24E+64,N/A,cendeuc,1860,135,1A,135,135,B,100,j
Eric Fischl: The Krefeld-Project,1831,Robert Rosenblum,d,5.24E+69,N/A,Kerber ,1859,136,1B,136,136,D,200,j
El color. Un método para dominar el arte de combinar colores,1830,Betty Edwards,d,5.24E+84,N/A,Urano,1858,137,2C,137,137,A,300,j
trigonometria,1829,sullivan,d,5.24E+44,N/A,pearson,1857,138,3D,138,138,C,400,j
Veterinary Hematology and Clinical Chemistryy,1828,Mary Anna Thrall (Editor)y Glade Weiser (Editor)y Robin Allison (Editor)y Terry W. Campbell (Editor),d,5.24E+84,N/A,Wiley-Blackwell,1856,139,4E,139,139,E,500,j
Schalms Veterinary Hematology,1827,Douglas J. Weiss (Editor)y K. Jane Wardrop (Editor),d,5.24E+84,N/A,Wiley-Blackwell,1855,140,1A,140,140,B,600,j
Veterinary Hematology: A Diagnostic Guide and Color Atlas,1825,John W. Harvey DVM PhD DACVP (Autor),d,5.24E+64,N/A,Elsievier,1854,141,1B,141,141,D,700,j
Clinical Biochemistry of Domestic Animals,1824, Jiro Jerry Kaneko (Editor)y John W. Harvey (Editor)y Michael L. Bruss (Editor),d,5.24E+44,N/A,Elsievier,1853,142,2C,142,142,A,800,j
Canine and Feline Cytology: A Color Atlas and Interpretation Guide,1823, Rose E. Raskin DVM PhD DACVP (Author)y Denny Meyer DVM DACVIM DACVP (Author),d,5.24E+69,N/A,Saunders,1852,143,3D,143,143,C,900,j
Exotic Animal Hematology and Cytology,1822, Terry W. Campbell (Author),d,5.24E+69,N/A,Wiley-Blackwell,1851,144,4E,144,144,E,100,j
Atlas of Canine and Feline Peripheral Blood Smearsy 1e (Small Animal Laboratory Essentials),1821, Amy C. Valenciano DVM MS DACVP (Author)y Rick Cowell (Author)y Theresa Rizzi (Author)y Ronald D. Ty,d,5.24E+69,N/A,Mosby,1850,145,1A,145,145,B,200,j
Infectious Diseases of the Dog and Cat,1819, Craig E. Greene DVM MS DACVIM ,d,5.24E+69,N/A,Saunders,1849,146,1B,146,146,D,300,j
Sedimentology and Sedimentary Basins: From Turbulence to Tectonics,1818,Mike R. Leeder,d,5.24E+84,N/A,Wiley-Blackwell,1848,147,2C,147,147,A,400,j
Structural Geology,1817,FOSSEN Haakon,d,5.24E+84,N/A,Cambridge University Press ,1847,148,3D,148,148,C,500,j
Atlas para la identificacion de elementos parasitarios microscopicos en deposiciones,1816,Patricio Torres H.y Maria Isabel Jercic L. y colaboradores,d,5.24E+64,N/A,Instituto de Salud Pública de Chiley Ministerio de Saludy Gobierno de Chile,1846,149,4E,149,149,E,600,j
La música en la época Barroca,1815,Bukofzer,d,5.24E+84,N/A,Alianza Musica,1845,150,1A,150,150,B,700,j
La interpretación histórica de la música,1813,Lawson y Stowell,d,5.24E+84,N/A,Alianza Musica,1844,151,1B,151,151,D,800,j
Historia de la Música occidental,1812,Grout - Palisca,d,5.24E+84,N/A,Alianza Musica,1843,152,2C,152,152,A,900,j
Un siglo de música grabada,1811,Timothy Day,d,5.24E+84,N/A,Alianza Musica,1842,153,3D,153,153,C,100,j
Biomimicry Resource Handbook,1810,Dayna Baumeister,d,5.24E+49,N/A,CreateSpace,1841,154,4E,154,154,E,200,j
Biophilic Cities: Integrating Nature Into Urban Design and Planning,1809,Tim Beatley,d,5.24E+64,N/A,Island Press,1840,155,1A,155,155,B,300,j
JOAO LUIS CARRILHO DA GRACAy TRAZAR CONEXIONESy CONSTRUIR PAUTAS,1807,JOAO LUIS CARRILHO DA GRACA,d,5.24E+64,N/A,EL CROQUIS,1839,156,1B,156,156,D,400,j
Constructores Inmigrantes. Transferencia de Alemania a Chile,1806,Renato DAlençony Francisco Prado,d,5.24E+64,N/A,Ediciones UC,1838,157,2C,157,157,A,500,j
Studio Mumbaiy MANERAS DE HACER Y DE FABRICAR,1805,Studio Mumbai,d,5.24E+64,N/A,EL CROQUIS,1837,158,3D,158,158,C,600,j
MVRDVy CIUDAD EVOLUTIVA,1804,MVRDV,d,5.24E+64,N/A,EL CROQUIS,1836,159,4E,159,159,E,700,j
Arquitectura: Crítica y Nueva Época,1803,Enrique Browne,d,5.24E+64,N/A,Stoq,1835,160,1A,160,160,B,800,j
Glenn Murcutt Feathers Of Metal,1801,Glenn Murcutt ,d,5.24E+49,N/A,EL CROQUIS,1834,161,1B,161,161,D,900,j
SMILJAN RADICy EL JUEGO DE LOS OPUESTOS,1800,SMILJAN RADIC,d,5.24E+64,N/A,EL CROQUIS,1833,162,2C,162,162,A,100,j
ALVARO SIZAy LECCIONES MAGISTRALES,1799,ALVARO SIZA,d,5.24E+64,N/A,EL CROQUIS,1832,163,3D,163,163,C,200,j
Los ojos de la piel. La arquitectura y los sentidos,1798,Juhani Pallasmaa,d,5.24E+64,N/A,GG,1831,164,4E,164,164,E,300,j
Arquitectura y Crítica,1797,Josep María Montaner,d,5.24E+64,N/A,GG,1830,165,1A,165,165,B,400,j
Aires Mateusy CONSTRUIR EL MOLDE DEL ESPACIO,1795,Aires Mateus,d,5.24E+64,N/A,EL CROQUIS,1829,166,1B,166,166,D,500,j
SELGASCANOy VACILANTE NATURALEZ,1794,SELGASCANO,d,5.24E+64,N/A,EL CROQUIS,1828,167,2C,167,167,A,600,j
Arquitectura y Crítica,1793,Josep María Montaner,d,5.24E+64,N/A,GG,1827,168,3D,168,168,C,700,j
Sou Fujimotoy TEORÍA E INTUICIÓNy MARCA Y EXPERIENCIA,1792,Sou Fujimoto,d,5.24E+64,N/A,EL CROQUIS,1826,169,4E,169,169,E,800,j
Valerio Olgiatiy AFINADAS DISCORDANCIAS,1791,Valerio Olgiati,d,5.24E+64,N/A,EL CROQUIS,1825,170,1A,170,170,B,900,j
Bevk Perovi&#263;y CONDICIONALISMO,1789,Bevk Perovi&#263 ,d,5.24E+64,N/A,EL CROQUIS,1824,171,1B,171,171,D,100,j
Mansilla+Tuñóny GEOMETRÍAS ACTIVAS,1788,Mansilla+Tuñón,d,5.24E+64,N/A,EL CROQUIS,1823,172,2C,172,172,A,200,j
Neutelings Riedijky CONVENCIONES E IDENTIDAD,1787,Neutelings Riedijk,d,5.24E+64,N/A,EL CROQUIS,1822,173,3D,173,173,C,300,j
RCR Arquitectesy ABSTRACCIÓN POÉTICA,1786,RCR Arquitectes,d,5.24E+64,N/A,EL CROQUIS,1821,174,4E,174,174,E,400,j
DAVID CHIPPERFIELDy FIGURA Y ABSTRACCIÓN,1785,DAVID CHIPPERFIELD,d,5.24E+64,N/A,EL CROQUIS,1820,175,1A,175,175,B,500,j
Caruso St Johny RUDA SUTILEZA,1783,Caruso St John,d,5.24E+64,N/A,EL CROQUIS,1819,176,1B,176,176,D,600,j
STEVEN HOLLy CONCEPTOS Y MELODÍAS,1782,STEVEN HOLL,d,5.24E+64,N/A,EL CROQUIS,1818,177,2C,177,177,A,700,j
Herzog & de Meurony PROGRAMAy MONUMENTOy PAISAJE,1781,Herzog & de Meuron,d,5.24E+64,N/A,EL CROQUIS,1817,178,3D,178,178,C,800,j
SANAAy ARQUITECTURA INORGÁNICA,1780,SANAA (Sejima + Nishizawa),d,5.24E+64,N/A,EL CROQUIS,1816,179,4E,179,179,E,900,j
Sean Godselly RUDA SUTILEZA,1779,Sean Godsell,d,5.24E+64,N/A,EL CROQUIS,1815,180,1A,180,180,B,100,j
ECONOMIA URBANA Y REGIONAL: INTRODUCCION A LA GEOGRAFIA ECONOMICA,1777,FERNANDO RUBIERA MOROLLON,d,5.24E+64,N/A,S.L. CIVITAS EDICIONES,1814,181,1B,181,181,D,200,j
